at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
16.7084, 1, 0.87, 0, 0
16.845, 0.996, 0.868, 0.004, 0
16.9894, 0.996, 0.868, 0.004, 0
35.1574, 0.996, 0.868, 0.004, 0
35.2132, 0.996, 0.868, 0.004, 0
17.3266, 0.996, 0.868, 0.004, 0
17.4958, 0.996, 0.868, 0.004, 0
17.6373, 0.998, 0.87, 0.002, 0
17.7754, 1, 0.872, 0, 0
17.8753, 1, 0.872, 0, 0
18.0209, 1, 0.872, 0, 0
18.1613, 1, 0.872, 0, 0
18.3165, 1, 0.872, 0, 0
18.4581, 1, 0.872, 0, 0
18.6113, 1, 0.872, 0, 0
18.7514, 1, 0.876, 0, 0
18.8273, 1, 0.88, 0, 0
18.9678, 1, 0.882, 0, 0
19.1211, 1, 0.882, 0, 0
19.2008, 1, 0.882, 0, 0
19.3434, 1, 0.882, 0, 0
19.5032, 1, 0.882, 0, 0
19.646, 1, 0.87, 0, 0
19.7896, 1, 0.872, 0, 0
19.9322, 1, 0.872, 0, 0
20.0763, 1, 0.872, 0, 0
20.2351, 1, 0.878, 0, 0
20.3918, 1, 0.878, 0, 0
20.5397, 1, 0.878, 0, 0
20.6963, 1, 0.876, 0, 0
20.8399, 1, 0.876, 0, 0
20.9194, 1, 0.872, 0, 0
21.067, 1, 0.87, 0, 0
21.2129, 1, 0.872, 0, 0
21.351, 1, 0.872, 0, 0
21.4491, 1, 0.872, 0, 0
21.5969, 1, 0.872, 0, 0
21.7396, 1, 0.872, 0, 0
21.8845, 1, 0.87, 0, 0
22.0423, 1, 0.856, 0, 0
40.2261, 1, 0.848, 0, 0
22.3335, 1, 0.848, 0, 0
22.515, 1, 0.848, 0, 0
22.677, 1, 0.844, 0, 0
22.8245, 1, 0.846, 0, 0
22.9519, 1, 0.846, 0, 0
23.1016, 1, 0.846, 0, 0
23.2558, 1, 0.846, 0, 0
23.4275, 1, 0.848, 0, 0
23.5889, 1, 0.848, 0, 0
23.7491, 1, 0.85, 0, 0
23.9482, 1, 0.852, 0, 0
24.0962, 1, 0.852, 0, 0
24.2381, 1, 0.852, 0, 0
24.387, 1, 0.852, 0, 0
24.5281, 1, 0.852, 0, 0
24.6718, 1, 0.854, 0, 0
24.8128, 1, 0.854, 0, 0
24.9542, 1, 0.854, 0, 0
25.0952, 1, 0.854, 0, 0
25.238, 1, 0.856, 0, 0
25.3857, 1, 0.856, 0, 0
25.5298, 1, 0.856, 0, 0
25.6755, 1, 0.856, 0, 0
25.8179, 1, 0.856, 0, 0
25.9591, 1, 0.856, 0, 0
26.1007, 1, 0.856, 0, 0
26.2417, 1, 0.856, 0, 0
26.3818, 1, 0.856, 0, 0
26.5233, 1, 0.856, 0, 0
26.6589, 1, 0.856, 0, 0
26.7985, 1, 0.856, 0, 0
26.9367, 1, 0.856, 0, 0
27.0733, 1, 0.856, 0, 0
45.2404, 1, 0.856, 0, 0
27.3324, 1, 0.858, 0, 0
27.4877, 1, 0.858, 0, 0
27.6291, 1, 0.858, 0, 0
27.7663, 1, 0.858, 0, 0
27.902, 1, 0.858, 0, 0
28.0382, 1, 0.858, 0, 0
28.1741, 1, 0.858, 0, 0
28.3137, 1, 0.858, 0, 0
28.4503, 1, 0.858, 0, 0
28.591, 1, 0.858, 0, 0
28.7287, 1, 0.858, 0, 0
28.8647, 1, 0.858, 0, 0
29.0047, 1, 0.86, 0, 0
29.1407, 1, 0.86, 0, 0
29.2805, 1, 0.86, 0, 0
29.4208, 1, 0.86, 0, 0
29.5573, 0.998, 0.864, 0.002, 0
29.7149, 0.996, 0.864, 0.004, 0
29.8509, 0.996, 0.864, 0.004, 0
29.9887, 0.996, 0.864, 0.004, 0
30.1247, 0.996, 0.88, 0.004, 0
30.2587, 0.996, 0.88, 0.004, 0
30.4021, 0.996, 0.88, 0.004, 0
30.5398, 0.996, 0.88, 0.004, 0
30.6733, 0.996, 0.88, 0.004, 0
30.8092, 0.996, 0.88, 0.004, 0
30.9442, 0.996, 0.88, 0.004, 0
31.0834, 0.996, 0.88, 0.004, 0
31.2235, 0.996, 0.88, 0.004, 0
31.3599, 0.996, 0.88, 0.004, 0
31.4946, 0.996, 0.88, 0.004, 0
31.628, 0.996, 0.88, 0.004, 0
31.7615, 0.996, 0.88, 0.004, 0
31.9035, 0.996, 0.88, 0.004, 0
32.0374, 0.996, 0.88, 0.004, 0
50.203, 0.996, 0.88, 0.004, 0
50.3281, 0.996, 0.88, 0.004, 0
32.4991, 0.996, 0.88, 0.004, 0
32.6523, 0.996, 0.88, 0.004, 0
32.7921, 0.996, 0.88, 0.004, 0
32.9248, 0.996, 0.88, 0.004, 0
33.0655, 0.996, 0.882, 0.004, 0
33.2023, 0.996, 0.88, 0.004, 0
33.3373, 0.996, 0.88, 0.004, 0
33.4719, 0.996, 0.88, 0.004, 0
33.6077, 0.996, 0.88, 0.004, 0
33.745, 0.996, 0.87, 0.004, 0
33.8836, 0.996, 0.87, 0.004, 0
