TOTAL_STIMULUS_REC: 423
NLP_parse_percentage_in_AF: 3.78451e-08
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
1725260968508845831, 31.000000, 21:47:56:370, 21:48:01:067, 40.3947, 4.69772, 0,  - , 40.728
1744374926677444041, ,@417cf96e-4193-4bab-b235-016c33e1520c, 21:47:46:055, 21:48:01:067, 470.109, 15.012, 0,  - , 525
1775729900420934853, Wj, 21:47:46:362, 21:47:51:035, -8.41372, 4.67341, 1,  - , 6.03818
1842958358155697013, distinguished@3466308f-b337-4bea-9f4a-4aa11e2298c9, 21:47:50:832, 21:47:51:035, 10.407, 0.202603, 0,  - , 4.37477
1869856206495275725, do, 21:47:46:626, 21:47:47:645, 6.58433, 1.01909, 0,  - , 2.65562
1870260826774280319, do, 21:47:46:055, 21:48:01:067, 625.412, 15.012, 0, 300, 16.5393
1918349595616687759, ParseNode, 21:47:46:626, 21:47:50:249, 27.4179, 3.62314, 1,  - , 4.01153
1988950432130877362, their, 21:47:46:362, 21:48:01:067, 100.622, 14.7058, 0, 2100, 2
1994288061702692032, and, 21:47:46:362, 21:47:54:880, 17.1477, 8.51867, 0, 12000, 14.3333
2039579538807236167, 5.000000, 21:47:46:055, 21:48:01:067, 85.3638, 15.012, 1,  - , 66.1352
2100922939291702691, limbs, 21:47:46:362, 21:48:01:067, 248.978, 14.7058, 0, 900, 1.33333
2118449469262097502, hydraulic, 21:47:46:451, 21:47:48:033, 1.18301, 1.58216, 0, 300, 2.66667
2143372696532397187, adj, 21:47:46:055, 21:48:01:067, 124.814, 15.012, 0,  - , 95.9302
2202734747562397681, most woodlice, however, cannot do this., 21:47:46:730, 21:47:50:938, 10.4599, 4.20859, 0,  - , 4.63618
2215114169663118701, Wi, 21:47:46:259, 21:48:01:067, 45.3176, 14.8083, 1,  - , 12.0506
2220608654427887124, by@abf59fa3-5e54-4847-bf39-1c8365ee8e81, 21:47:48:822, 21:48:01:067, 567.972, 12.245, 0,  - , 643
2252353294051805203, sentence@ddc16de1-2252-4727-b41e-de1224337112, 21:47:46:055, 21:48:01:067, 147.348, 15.012, 0,  - , 35.8392
2263783472620955547, 1.000000, 21:47:46:055, 21:48:01:067, 119.077, 15.012, 1,  - , 80.0009
2299853405184264762, InterpretationNode, 21:47:46:730, 21:48:01:067, 9.17364, 14.3376, 1,  - , 2.91142
2330260844335748888, _subj, 21:47:46:055, 21:48:01:067, 65.7506, 15.012, 1,  - , 54.0058
2383772000074300686, insects, 21:47:47:115, 21:47:47:719, 1.98324, 0.604317, 0, 3300, 0
2390611616569436914, 3.000000, 21:47:46:055, 21:48:01:067, 102.231, 15.012, 0,  - , 61.142
2456000116363179208, $subj2, 21:47:46:900, 21:47:46:900, 0.427907, 0, 1,  - , 2.65081
2469559206429308453, cannot, 21:47:46:055, 21:48:01:067, 168.286, 15.012, 0, 300, 3.03931
2493505843186968433, negative, 21:47:46:055, 21:48:01:067, 94.7111, 15.012, 1,  - , 52.7075
2501540006609009906, unlike@722db4a3-6012-46a4-82fa-5a1ed10197ac, 21:47:50:619, 21:47:51:035, 6.77058, 0.416125, 0,  - , 8.97576
2509231526540143837, their@9fddc785-91ff-4c3a-9627-6d2fdbf171b0, 21:47:52:045, 21:48:01:067, 141.333, 9.0226, 0,  - , 4.33333
2530478624598859213, however, 21:47:46:362, 21:48:06:271, 8.31157, 19.9094, 1,  - , 1.4
2531586932319610927, however, 21:47:46:055, 21:48:01:067, 337.68, 15.012, 0, 600, 8.28931
2537598567966037715, LEFT-WALL@sentence@b8be845f-a552-420a-b4ce-4e5c9fd36481_parse_0, 21:47:49:557, 21:47:51:149, 2.30987, 1.59152, 0,  - , 21.7832
2603951617628162014, $N1, 21:47:46:900, 21:47:47:006, 0.273736, 0.105973, 1,  - , 3.19579
2714698817800988296, 29.000000, 21:47:55:819, 21:48:01:067, 64.4442, 5.24849, 0,  - , 64.7775
2719732736486966161, LEFT-WALL@sentence@0fce858f-13aa-447b-bd4d-d29c70704d5e_parse_0, 21:47:49:557, 21:47:51:149, 12.8109, 1.59152, 0,  - , 21.1165
